@relation 'TRE ANNI IMMATRICOLATI 2010-2013 PER STUDENTI-weka.filters.unsupervised.attribute.Remove-R6-45-weka.filters.unsupervised.attribute.Normalize-S100.0-T0.0-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst_clustered'

@attribute Instance_number numeric
@attribute coorte {2010,2011,2012,2013}
@attribute test numeric
@attribute crediti_totali numeric
@attribute crediti_con_voto numeric
@attribute voto_medio numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,2010,52,98.333333,100,46.153846,cluster1
1,2010,88,98.333333,100,69.230769,cluster1
2,2010,64,98.333333,100,84.615385,cluster1
3,2010,76,98.333333,100,61.538462,cluster1
4,2010,72,98.333333,100,61.538462,cluster1
5,2010,60,85,93.877551,46.153846,cluster1
6,2010,72,85,93.877551,69.230769,cluster1
7,2010,44,40,37.414966,46.153846,cluster0
8,2010,44,11.666667,8.163265,15.384615,cluster2
9,2010,52,98.333333,100,46.153846,cluster1
10,2010,76,98.333333,100,84.615385,cluster1
11,2010,68,98.333333,100,61.538462,cluster1
12,2010,56,33.333333,30.612245,23.076923,cluster0
13,2010,80,80,81.632653,53.846154,cluster1
14,2010,56,98.333333,100,61.538462,cluster1
15,2010,68,21.666667,16.326531,53.846154,cluster0
16,2010,68,73.333333,79.591837,38.461538,cluster1
17,2010,84,98.333333,100,76.923077,cluster1
18,2010,68,98.333333,100,61.538462,cluster1
19,2010,36,10,4.081633,30.769231,cluster2
20,2010,72,98.333333,100,76.923077,cluster1
21,2010,64,36.666667,36.734694,38.461538,cluster0
22,2010,40,95,100,46.153846,cluster1
23,2010,80,11.666667,8.163265,69.230769,cluster0
24,2010,60,0,0,0,cluster2
25,2010,48,41.666667,44.897959,15.384615,cluster0
26,2010,60,15,12.244898,46.153846,cluster0
27,2010,40,33.333333,32.653061,15.384615,cluster2
28,2010,56,21.666667,16.326531,46.153846,cluster0
29,2010,72,18.333333,0,92.307692,cluster0
30,2011,72,98.333333,100,53.846154,cluster1
31,2011,56,5,0,69.230769,cluster0
32,2011,68,98.333333,100,30.769231,cluster1
33,2011,48,13.333333,8.163265,30.769231,cluster2
34,2011,76,93.333333,100,53.846154,cluster1
35,2011,56,43.888889,42.176871,53.846154,cluster0
36,2011,68,31.666667,30.612245,38.461538,cluster0
37,2011,52,96.666667,100,53.846154,cluster1
38,2011,64,85,93.877551,38.461538,cluster1
39,2011,0,43.333333,42.857143,38.461538,cluster0
40,2011,80,0,0,0,cluster2
41,2011,64,13.333333,8.163265,38.461538,cluster0
42,2011,80,18.333333,16.326531,61.538462,cluster0
43,2011,68,98.333333,100,46.153846,cluster1
44,2011,76,98.333333,100,53.846154,cluster1
45,2011,44,98.333333,100,61.538462,cluster1
46,2011,56,98.333333,100,30.769231,cluster1
47,2011,52,98.333333,100,38.461538,cluster1
48,2011,52,78.333333,87.755102,30.769231,cluster1
49,2011,56,20,18.367347,38.461538,cluster0
50,2011,68,73.333333,79.591837,30.769231,cluster1
51,2011,76,33.333333,32.653061,61.538462,cluster0
52,2011,68,98.333333,100,38.461538,cluster1
53,2011,56,98.333333,100,30.769231,cluster1
54,2011,48,98.333333,100,61.538462,cluster1
55,2011,52,6.666667,0,15.384615,cluster2
56,2011,28,0,0,0,cluster2
57,2011,24,0,0,0,cluster2
58,2011,56,33.333333,32.653061,38.461538,cluster0
